serial_number,asset_tag_id,device_name,mac_address,manufacturer,model,hardware_specs,attached_peripheral_devices,asset_category,asset_subcategory,related_po_number,vendor,purchase_date,purchase_cost,cost_center,warranty_term,warranty_expiry_date,support_agreements,assigned_user,recently_logged_in_users,last_found_ip_address,assigned_location,discovered_location,lifecycle_status,technical_sme,installed_os,installed_software,related_it_tickets,maintenance_count,environmental_conditions,hardware_specs_quality,asset_age_days,under_warranty,days_since_last_login,num_installed_software,hardware_power_score,location_match
14bd6d97-8a5b-4328-add2-477efbec589c,5bd445b6-39b9-4088-8f4c-068ed488d119,say,a4:cb:fc:99:a0:19,apple,modela,"8GB, 256GB SSD, AMD Ryzen 7/NVIDIA RTX 2060",None,switch,managed,681a0d9a-d133-43d3-9fcf-6a2a676d5467,tate-davis,2020-10-31,3771.62,hr,1 years,2021-10-31,Extended Support,kimberly hernandez,Eddie Thompson Jr.,23.5.217.179,los angeles,chicago,In Maintenance,jane smith,windows 11,"MS Office, Zoom",7d9b5644-76c7-4dc7-a1b9-4fc7734f1c7b,3,high,low,1351,0,,2,6,0
839f1ddf-82c7-4049-8b1a-350383987376,624d6bbb-957f-452c-b7da-82fb0a27cf4b,call,4e:e2:17:55:e9:5b,canon,modela,"32GB, 1TB HDD, Intel i7/NVIDIA GTX 1650",Monitor,router,wireless,33908de0-8c3f-4524-8c01-00c062248f02,carter group,2022-03-29,1100.11,marketing,2 years,2024-03-29,Extended Support,jennifer waller,"Kathy Cordova, Melissa Johnson, Jennifer Mills",48.81.84.177,san francisco,los angeles,Decommissioned,emily davis,windows 10,"Zoom, MS Office",e706fa13-1524-4446-9473-ed2d3306f4b4,0,low,medium,837,0,,2,7,0
4a891b0c-8ea9-453b-93e2-b6a7a110a1a6,2ffa551f-0d13-4cc1-865b-c06c870ea4ec,low,46:d7:5c:46:4d:97,hp,modelc,"16GB, 512GB SSD, AMD Ryzen 5/AMD RX 580",Keyboard,printer,inkjet,58552eac-e94c-4553-8909-225bcefb3a1c,"ross, martin and mccoy",2022-03-17,2683.91,marketing,1 years,2023-03-17,Basic Support,sarah simmons,"Kathy Fitzpatrick, Alison Bush, Mary Santos",66.46.100.43,san francisco,chicago,Decommissioned,emily davis,linux,Adobe Photoshop,38e0a6ed-a06e-4cd0-ac9c-3248937ca3ce,2,low,high,849,0,,1,6,0
a9421e20-4f9f-4f04-9510-adb5bfd4b6db,7b693c47-a439-40f9-82de-bf6142a5c37f,above,ce:2a:92:9f:6b:64,apple,modelc,"8GB, 256GB SSD, AMD Ryzen 5/AMD RX 580",Monitor,switch,unmanaged,52f989ce-d0c8-49c7-971b-2927850a7ade,montgomery group,2021-01-11,1802.99,finance,2 years,2023-01-11,Basic Support,kimberly ferguson md,Haley Herrera,24.149.167.147,new york,chicago,Decommissioned,emily davis,windows 11,"Adobe Photoshop, Zoom",9e6cf198-6592-49cc-9b86-fd13c82ee529,1,medium,medium,1279,0,,2,4,0
964b4679-5125-4dd1-8a23-db0fc97b4450,21f7c8c9-5a49-47e8-b499-bc40a1248499,baby,6e:7d:90:3e:d2:86,cisco,modela,"16GB, 256GB SSD, Intel i7/NVIDIA RTX 2060",Keyboard,printer,inkjet,9a6741ac-ad14-4801-8eba-923161967396,"curtis, schroeder and gutierrez",2021-03-11,3213.27,it,3 years,2024-03-11,Extended Support,casey richard jr.,"Rebecca Montoya, Kelly Alvarado",140.15.213.179,new york,los angeles,In Maintenance,robert brown,windows 10,"Adobe Photoshop, Visual Studio",9694b97b-3fe9-4b92-8c4b-38ef49130650,1,high,medium,1220,0,,2,7,0
556c684b-9583-4244-9129-1f26aa623e2d,884d9348-fe88-4778-b976-5ea239ffecc8,but,ec:27:e0:8b:7b:28,dell,modela,"16GB, 1TB HDD, AMD Ryzen 7/AMD RX 580",Printer,laptop,business,341d8ba7-a059-475e-8ee1-a7bc95313475,benitez plc,2022-10-31,4765.88,hr,1 years,2023-10-31,Basic Support,victoria rice,Carrie Carter,67.8.76.178,new york,los angeles,In Maintenance,john doe,macos,"Visual Studio, MS Office, Zoom",bd0d8dc4-26b8-47e8-9aa0-f043a4fb546f,5,medium,medium,621,0,,3,6,0
8c98e399-41f0-4ab6-8a90-5733e0ef83ba,3c67b1c9-a2b4-4a71-99ca-d1b7856ad9d2,decade,dc:6c:50:44:4a:27,apple,modeld,"32GB, 1TB HDD, Intel i5/NVIDIA GTX 1650",Monitor,server,rack,c31b6120-cfb5-4363-b703-98ba63d594c4,logan-hanson,2022-05-07,3744.68,marketing,1 years,2023-05-07,Basic Support,amber kim,"Julie Morgan, William Sanford",76.213.204.221,chicago,los angeles,In Maintenance,robert brown,linux,"Visual Studio, MS Office",797274a0-a063-4cde-a3db-5ab43eb6b630,4,medium,medium,798,0,,2,6,0
29a9b8f5-9951-49d3-9bd4-8674de0844ab,ac939ce0-4ff2-4ed0-8bd1-0689cf92fcb8,because,28:55:b7:4e:58:d4,canon,modeld,"32GB, 256GB SSD, AMD Ryzen 7/AMD RX 580",Mouse,router,wired,79df06ec-0144-463e-8bca-16ae24229e5c,brooks plc,2022-07-25,4596.99,finance,3 years,2025-07-25,Basic Support,susan walker md,Donald Jones,138.197.230.8,new york,los angeles,In Maintenance,jane smith,linux,"MS Office, Zoom, Adobe Photoshop",5e044111-7a48-4219-8ed6-05d9b9202443,2,low,high,719,1,,3,7,0
6415b1ac-1c66-42c6-a3cb-88b0bceef79b,7543bf5c-df0b-4df6-bb49-8a7a901cd482,feel,30:23:fc:56:cb:dc,canon,modelc,"32GB, 256GB SSD, AMD Ryzen 5/NVIDIA RTX 2060",Monitor,switch,managed,a69a6af0-e0c3-4a0c-87c7-d66d77d57049,walker-olson,2022-02-17,2469.81,it,1 years,2023-02-17,Extended Support,jean smith,"Matthew Howard, Suzanne Gallegos, Jeff Meza",98.169.66.248,san francisco,los angeles,Decommissioned,john doe,linux,"Visual Studio, MS Office, Zoom",828bd354-709f-4852-9180-c48a59babad9,0,medium,medium,877,0,,3,7,0
e3297650-6007-4093-85fd-fc8b5828abf8,0f45e85d-cfc2-46fb-844f-f6d82a6e01ea,girl,e4:83:b5:5e:a7:f8,apple,modelb,"16GB, 256GB SSD, Intel i5/NVIDIA RTX 2060",Monitor,desktop,all-in-one,2dd478da-c9e6-466e-a482-05cf9c8a11d8,sandoval-miller,2021-09-16,2821.94,marketing,3 years,2024-09-16,Extended Support,bryan reeves,"Alan Dillon, Amy Rosales",200.89.14.219,new york,new york,Active,john doe,windows 11,"Visual Studio, MS Office",c0949276-c2a3-497b-bf07-4c0767d5e1a8,3,low,medium,1031,1,,2,6,1
3c4d2d97-86f9-4c3f-a550-e91a2404d8d6,7e3f0a5c-cb56-4d06-b53a-ec2f1883d308,become,82:9f:89:d3:87:5c,apple,modeld,"32GB, 256GB SSD, AMD Ryzen 7/NVIDIA GTX 1650",Keyboard,desktop,mini pc,cdeb4931-5e62-41da-b168-398536b3e94a,yates-greer,2023-03-23,4441.54,hr,2 years,2025-03-23,Extended Support,mike johnston,Dawn Baker,71.54.63.216,los angeles,los angeles,Active,robert brown,linux,Adobe Photoshop,c6c3045d-4edc-4a36-8775-71c338e77c72,1,medium,low,478,1,,1,7,1
9dcf3e09-9697-4bbf-aa40-0e30528b1cf0,dbf9fa79-6387-4056-8fa4-a2c8b5883cb3,clearly,80:bf:ba:f2:01:9e,cisco,modelc,"32GB, 512GB SSD, Intel i5/NVIDIA GTX 1650",Keyboard,desktop,mini pc,a72c159b-0e8a-46d2-a709-d8e0d5a9ccb3,miller inc,2022-05-17,596.5,hr,2 years,2024-05-17,Basic Support,matthew dean,"Teresa Austin, Jeffrey Lopez, Jamie Johnson DDS",79.47.237.251,new york,san francisco,In Maintenance,robert brown,windows 11,Zoom,34274edf-81f9-408a-9905-d5b5c75f8b1e,2,high,low,788,0,,1,7,0
266fe935-c274-4228-b94f-ae963d754cbf,06624188-8e16-45b4-82c1-26a9adf5c8ae,card,4e:7c:e9:c7:ff:f3,lenovo,modeld,"8GB, 512GB SSD, Intel i5/AMD RX 580",Mouse,laptop,business,aa7444d2-3fbd-49e1-a5c5-2acf3bbeaaa7,"smith, pham and brewer",2021-01-23,928.09,hr,1 years,2022-01-23,Extended Support,tammie reyes,Keith Levine,203.171.93.78,san francisco,chicago,In Maintenance,emily davis,linux,"Visual Studio, Adobe Photoshop",d8e36fc5-7585-4f33-a8c2-6f424af0dd79,4,low,medium,1267,0,,2,5,0
6f1e6723-5208-4e6d-aba4-4615ff754e84,9704d949-620d-4d1e-bdd7-5da5900b8272,change,f2:60:cc:67:b3:b9,netgear,modeld,"16GB, 1TB HDD, AMD Ryzen 7/AMD RX 580",Monitor,desktop,mini pc,c745ab5e-e57b-4b8e-9a28-a9ef9b49b1b1,"krueger, reeves and baird",2019-09-28,2275.8,finance,3 years,2022-09-28,Extended Support,alexander terry,"Michael Mendez, Mrs. Patricia Keith MD",16.120.20.145,san francisco,new york,In Maintenance,jane smith,linux,"Zoom, MS Office",659e2fc3-e960-4d06-b01a-2bdd0bbceb88,4,low,low,1750,0,,2,6,0
fe73a5d5-f8bf-4f6c-bd9b-14a631e22faa,945111a4-ae4d-4bd8-bec3-2574c15867a5,tax,06:db:df:fe:1e:3b,canon,modelb,"16GB, 256GB SSD, AMD Ryzen 7/NVIDIA GTX 1650",Keyboard,printer,inkjet,f31052b6-7f6e-4b43-bf67-8f4de8859981,johnson-mueller,2023-01-17,1177.71,marketing,1 years,2024-01-17,Extended Support,erin sanchez,"Benjamin Ayala, Jonathan Pena, William Gibson",83.26.235.84,san francisco,chicago,In Maintenance,emily davis,linux,Visual Studio,b08cba47-3665-4ddd-a67f-15e7a96ebaf6,4,high,medium,543,0,,1,6,0
5ca72a30-8751-4809-a772-1ffda0e0037b,1172c04d-0335-48e5-88db-02a2fe50e289,pick,b4:3e:3d:82:eb:54,dell,modelb,"8GB, 256GB SSD, Intel i7/NVIDIA RTX 2060",Keyboard,router,wired,19e38f2f-d18b-41da-a033-4cbf04bff551,"richardson, smith and hanna",2021-05-09,596.7,hr,3 years,2024-05-09,Extended Support,alexis wilson,Angie Russell,149.216.222.60,new york,los angeles,In Maintenance,robert brown,macos,Visual Studio,786a57f5-671d-4da5-bb06-ea2e7ba57314,2,high,high,1161,0,,1,6,0
4e052415-d133-4443-ab5c-b61216764396,e1bb5f11-a178-46b8-bd9b-79bf07c88c23,analysis,cc:36:90:62:86:00,dell,modelc,"8GB, 1TB HDD, Intel i7/AMD RX 580",Mouse,router,wireless,26ed5fb2-acc4-4992-a2a1-4d64d9ebbbe5,"bell, gaines and griffin",2021-12-14,3981.25,marketing,2 years,2023-12-14,Basic Support,sara zimmerman,David Jones,133.141.95.75,los angeles,san francisco,Decommissioned,robert brown,linux,"MS Office, Zoom, Adobe Photoshop",1edb08c0-30fd-4f6f-9860-f5315c54854b,3,medium,medium,942,0,,3,5,0
9c0518c8-147c-4577-b8e5-9ac3a5b7fcb7,14e8e9e0-a810-4f70-a7e5-3a7b6462b657,money,48:8a:6b:f2:f7:ea,lenovo,modelc,"32GB, 512GB SSD, AMD Ryzen 7/NVIDIA GTX 1650",Printer,laptop,ultrabook,587cdcd6-1884-4c40-b11e-f7d1e8bd8a5d,kim-miller,2023-05-13,788.61,it,2 years,2025-05-13,Extended Support,christopher wilson,"Robin Pineda, Edwin Martinez",185.105.123.215,los angeles,new york,Active,john doe,linux,"MS Office, Zoom, Adobe Photoshop",1cb5826b-1e0b-463f-9b7f-8ea800ac9be5,3,medium,low,427,1,,3,8,0
16e22b04-b421-4746-9f3d-3d101363641c,90b8ee55-60bc-4d3b-a3c1-2396bd12906f,marriage,0e:6b:89:4a:ed:1e,dell,modelc,"32GB, 512GB SSD, Intel i5/NVIDIA GTX 1650",Printer,server,tower,1d38be7a-d221-4702-b1da-e8669654d10d,cochran ltd,2020-04-09,1419.49,it,2 years,2022-04-09,Extended Support,ann cruz,"Emily Nguyen, Brandon Nichols",96.204.71.220,chicago,chicago,In Maintenance,robert brown,linux,Adobe Photoshop,09032cca-1a25-4466-9a4b-e08aa220098a,2,low,medium,1556,0,,1,7,1
f9dd3759-bc6c-4a36-91e5-7aa77b1d2598,db5aa3f1-8723-46a8-9e86-ece19b7ee168,chair,38:08:3c:af:d8:78,hp,modelb,"8GB, 512GB SSD, Intel i7/AMD RX 580",Monitor,server,blade,dc2444ec-4afb-4469-8089-29e195a72649,montgomery-andersen,2020-06-05,1239.74,it,3 years,2023-06-05,Extended Support,dylan sloan iv,"James Bell, John Kelly",179.187.1.68,chicago,san francisco,In Maintenance,emily davis,linux,"Visual Studio, Zoom, Adobe Photoshop",7438f064-741d-4fbc-bd6e-9ee2866df90b,3,high,medium,1499,0,,3,6,0
e2b896c6-751b-4741-8b70-4fbea3fcb7b5,e610fab1-d77b-4de3-9532-292ab1e5c900,police,c4:b1:bf:4d:54:16,dell,modeld,"16GB, 512GB SSD, AMD Ryzen 5/NVIDIA RTX 2060",Keyboard,laptop,gaming,0e0f2180-de5d-4209-ab1f-bf914a8fc742,green-phillips,2024-02-27,2520.13,finance,1 years,2025-02-27,Extended Support,craig copeland,"Sherry Ayala, Jade Mahoney, Melissa Walker",3.161.29.77,new york,chicago,Active,robert brown,windows 10,"Adobe Photoshop, MS Office, Zoom",6c810334-f58b-4ebf-9b29-a7524e1d0730,2,high,medium,137,1,,3,7,0
8e104846-4c6d-4296-b706-19aaa69a8797,87bfd0f5-14c0-4b0e-9699-e9888badfcc0,second,10:54:05:3e:a2:da,cisco,modela,"16GB, 1TB HDD, AMD Ryzen 7/NVIDIA RTX 2060",Keyboard,laptop,ultrabook,35cf1e04-e4f1-4dd2-b4ef-d55156a9861b,watts-reynolds,2020-08-05,3194.22,hr,3 years,2023-08-05,Basic Support,william mitchell,"Wayne Parsons, Jennifer Mason",15.73.107.62,los angeles,new york,In Maintenance,jane smith,windows 11,"Adobe Photoshop, Visual Studio, MS Office",148339ab-661c-4db1-872f-9817f3e3d73f,4,low,high,1438,0,,3,7,0
e4e9080b-9b85-4348-9e36-6a125876f80f,a271c97e-b1d5-4a74-a0fc-b8aa47f70959,drive,b4:e0:4a:a0:86:17,netgear,modela,"8GB, 512GB SSD, Intel i5/NVIDIA GTX 1650",None,server,rack,d92691c3-f49d-4463-acbf-5f0fd4ffdf12,"herring, rasmussen and smith",2023-02-01,2128.8,hr,1 years,2024-02-01,Basic Support,joe lang,"Jason Smith, Tammy Griffin, Aaron Garza",178.69.167.3,new york,los angeles,In Maintenance,robert brown,linux,Visual Studio,c574d653-a4f2-4f7d-be06-f77391a6e553,5,medium,medium,528,0,,1,5,0
f1ffab8e-4e25-4ca4-9a73-09cf016ca706,64cb2f15-2335-4d7b-86d8-3482b1d353f9,firm,ac:93:09:d0:3d:15,cisco,modelc,"32GB, 256GB SSD, Intel i7/NVIDIA RTX 2060",Printer,router,wireless,7e0adaa0-5930-4d23-8e2c-32a39cd65270,reyes plc,2020-12-18,1250.6,finance,2 years,2022-12-18,Extended Support,joshua pierce md,Ashley Harris,199.57.96.9,san francisco,new york,Decommissioned,robert brown,macos,"Adobe Photoshop, MS Office",62495a48-bf23-4f63-be6d-656f4bee0330,1,low,high,1303,0,,2,8,0
48198d45-3a1f-4f8e-b4b7-410357717e21,5a5d08f3-7bca-42db-9c01-e2381f86925f,suddenly,3e:6f:cd:23:ae:0d,netgear,modelb,"8GB, 1TB HDD, AMD Ryzen 7/NVIDIA RTX 2060",None,server,tower,3959ceaf-a69f-4263-a656-d4f78d826034,"jones, edwards and norris",2023-06-06,1374.39,marketing,3 years,2026-06-06,Basic Support,jordan byrd,"Ashley Reed, Lee Smith, Melissa Miranda",197.219.21.16,chicago,san francisco,Active,emily davis,windows 10,MS Office,2d1df791-e4c9-40bd-b020-9cb4166e2eaf,4,high,medium,403,1,,1,6,0
b0a5b321-1a14-4714-a6c9-7f978ae69c0f,e7219e49-e0b4-4de5-ae92-32d5e29348a8,want,52:b6:54:a9:7f:3f,hp,modelc,"16GB, 512GB SSD, Intel i5/AMD RX 580",Monitor,router,wireless,15642ca8-8795-4a6e-9c03-b8fe375ef15a,lopez inc,2022-07-05,3182.58,finance,2 years,2024-07-05,Basic Support,austin hardy,Matthew Morales,95.160.169.155,chicago,san francisco,Decommissioned,john doe,windows 11,"Visual Studio, Adobe Photoshop, MS Office",e334bba2-3d54-4a3c-a153-80031205d914,1,low,medium,739,0,,3,6,0
f9a6d94d-b3b1-4c76-a21b-b0e0ea26a64a,502b954c-096d-4f52-9f36-2d2e848f35ab,hot,b2:06:e6:30:8a:99,netgear,modelb,"16GB, 1TB HDD, AMD Ryzen 5/NVIDIA GTX 1650",Keyboard,router,wired,0b1a6368-e44a-4dcb-8c32-f74a9b1853ab,bishop inc,2022-06-06,1859.56,finance,2 years,2024-06-06,Basic Support,david hull,"Erica Mccall, Blake Fleming",171.39.132.190,new york,san francisco,In Maintenance,jane smith,macos,"Adobe Photoshop, Visual Studio, MS Office",cfdeadec-191d-40d3-91d3-cc0d4fc4380d,5,medium,high,768,0,,3,5,0
23b09df6-768f-4e83-ad43-4eacac7c721b,7395420f-a172-4309-a159-c680c3ee9ff1,increase,14:ee:e4:fa:04:fe,canon,modelb,"8GB, 1TB HDD, AMD Ryzen 7/AMD RX 580",Printer,router,wireless,299a7b32-d7e9-4c33-9bc6-4a6062c79489,davenport-hahn,2022-05-04,1087.99,marketing,1 years,2023-05-04,Extended Support,jerry kelly,"Mary Stewart, Beverly Glover",60.227.71.197,chicago,san francisco,Decommissioned,jane smith,windows 10,"Visual Studio, MS Office",05601a4b-5d48-4bf6-97a1-383f21cd6834,1,low,medium,801,0,,2,5,0
daefeac0-a3e9-4254-a480-5052f11f1649,cc500bbc-ff09-4f91-bac1-dd715acc9a86,brother,94:5b:23:73:2f:59,hp,modeld,"8GB, 256GB SSD, Intel i7/NVIDIA GTX 1650",Printer,laptop,gaming,4f3b83ef-f09c-4fb1-a113-f05688e3f270,ellison-soto,2023-04-17,2519.95,hr,3 years,2026-04-17,Basic Support,alexis vasquez,"Kimberly Hudson, Helen Caldwell, Desiree Preston",191.244.46.136,chicago,new york,Active,john doe,windows 11,"Adobe Photoshop, Visual Studio",844b307e-68ca-4852-8d92-35ba4666de76,0,high,high,453,1,,2,5,0
b2909455-c175-4054-a2d0-aa34c1cb3810,fc8bb1bf-339b-4a39-9b77-74676db7c9c0,specific,38:03:bc:d5:a5:ff,cisco,modelb,"8GB, 1TB HDD, AMD Ryzen 5/AMD RX 580",Printer,desktop,mini pc,7e9a26f2-4f56-4786-836e-26c8ecb8201d,washington-marshall,2020-06-12,4344.64,it,3 years,2023-06-12,Basic Support,eric diaz,Brian Sullivan,46.59.114.225,san francisco,chicago,In Maintenance,jane smith,linux,"Visual Studio, Zoom, Adobe Photoshop",c9492e48-3894-4f9f-8123-f408a81b8317,4,high,medium,1492,0,,3,4,0
6809d0af-ee08-4f88-962a-ad7233983cbd,27b6490a-eb44-4bf9-a69a-fe03703a105a,skill,32:54:6a:d7:a5:c1,apple,modelc,"8GB, 1TB HDD, Intel i7/NVIDIA GTX 1650",Monitor,router,wired,804cfa1f-0410-4230-8140-c6e847a92afe,fowler-burns,2023-08-03,4048.98,finance,1 years,2024-08-03,Extended Support,timothy mccormick,"Karen Dawson, Kimberly Burgess, Devin Winters",174.167.142.252,los angeles,los angeles,Active,john doe,macos,"Visual Studio, Adobe Photoshop",d23bb183-eb24-4b2f-953c-7f95b96840d6,0,high,low,345,1,,2,5,1
0153d988-9e0e-4a38-840c-917de5a4015d,53386be5-cb46-4249-90ce-1607fef7d9ee,movement,76:25:5f:90:1a:ba,netgear,modelb,"8GB, 1TB HDD, AMD Ryzen 7/NVIDIA GTX 1650",Keyboard,laptop,ultrabook,4a6cb71c-b01e-4cf3-96f9-3c63feec09ff,davis inc,2022-09-30,1584.44,it,3 years,2025-09-30,Basic Support,samantha ramirez,Jeremy Woods,151.240.220.26,los angeles,los angeles,Active,robert brown,linux,Adobe Photoshop,19121cf8-9e38-4905-9065-1fd6b897a60b,2,medium,low,652,1,,1,5,1
b8c4a3a5-b1a0-4210-b218-5a19ac033184,c28adbae-6ae6-442e-912f-2e095e0a4913,world,16:c0:ee:17:74:af,hp,modelc,"32GB, 256GB SSD, AMD Ryzen 5/AMD RX 580",Mouse,printer,inkjet,ef42a227-8935-44bd-bd24-12580c50db52,"rose, baker and torres",2022-10-11,1682.86,finance,1 years,2023-10-11,Extended Support,joan miles,"Peter Robinson, Jeremy Boyer",76.128.24.120,chicago,san francisco,Decommissioned,jane smith,macos,"Visual Studio, Zoom",25f4b4f6-8726-40db-a05c-7cf31b9bb956,3,low,high,641,0,,2,6,0
5174a77b-dc01-4ca4-9e22-9ee4cd277f01,dec48a30-0933-4772-9900-1e33e213cc9b,hundred,96:db:e5:68:c6:8e,netgear,modela,"16GB, 256GB SSD, Intel i7/NVIDIA RTX 2060",Keyboard,server,blade,e57cd5bb-2aa1-4eb8-9a7d-dcc27691f6e6,woods-wilson,2021-08-21,4833.71,hr,3 years,2024-08-21,Basic Support,thomas meyer,Ronald Wagner,25.125.83.7,san francisco,chicago,Active,jane smith,linux,MS Office,073a27f5-0c3f-4f9c-99eb-890e024914d8,0,high,low,1057,1,,1,7,0
